TAXI_TYPE,PICKUP_AT,DROPOFF_AT,PICKUP_YEAR,PICKUP_MONTH,PICKUP_DAYOFWEEK,PICKUP_HOUR,IS_NIGHT,IS_WEEKEND,IS_RUSH_HOUR,TRIP_DURATION_MINUTES,TRIP_DISTANCE,PASSENGER_COUNT,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,CONGESTION_SURCHARGE,CBD_CONGESTION_FEE,AIRPORT_FEE,TOTAL_AMOUNT,PICKUP_ZONE_ID,DROPOFF_ZONE_ID,PICKUP_BOROUGH,PICKUP_ZONE_NAME,DROPOFF_BOROUGH,DROPOFF_ZONE_NAME,WEATHER_CATEGORY,IS_ADVERSE_WEATHER,TEMPERATURE_F,PRECIPITATION_INCH,WIND_SPEED_MPH
yellow,2025-01-31 17:28:54,2025-01-31 17:53:02,2025,1,5,17,False,False,True,25,3.0,,Unknown,24.3,0.0,0.5,0.0,0.0,1.0,,0.0,,25.8,94,119,Bronx,Fordham South,Bronx,Highbridge,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:58:19,2025-01-31 18:06:51,2025,1,5,17,False,False,True,8,0.0,,Unknown,14.19,0.0,0.5,0.0,0.0,1.0,,0.0,,15.69,116,24,Manhattan,Hamilton Heights,Manhattan,Bloomingdale,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:58:33,2025-01-31 18:23:42,2025,1,5,17,False,False,True,25,3.57,,Unknown,27.83,0.0,0.5,0.0,0.0,1.0,,0.75,,32.58,229,114,Manhattan,Sutton Place/Turtle Bay North,Manhattan,Greenwich Village South,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:51:17,2025-01-31 18:01:45,2025,1,5,17,False,False,True,10,1.28,,Unknown,11.0,0.0,0.5,0.0,0.0,1.0,,0.75,,15.75,107,186,Manhattan,Gramercy,Manhattan,Penn Station/Madison Sq West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:14:46,2025-01-31 17:23:52,2025,1,5,17,False,False,True,9,1.2,,Unknown,15.47,0.0,0.5,0.0,0.0,1.0,,0.75,,20.22,234,186,Manhattan,Union Sq,Manhattan,Penn Station/Madison Sq West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:40:38,2025-01-31 17:56:20,2025,1,5,17,False,False,True,16,1.9,,Unknown,15.7,0.0,0.5,0.0,0.0,1.0,,0.75,,20.45,87,148,Manhattan,Financial District North,Manhattan,Lower East Side,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:11:31,2025-01-31 17:35:26,2025,1,5,17,False,False,True,24,2.9,,Unknown,25.7,0.0,0.5,0.0,0.0,1.0,,0.75,,30.45,234,87,Manhattan,Union Sq,Manhattan,Financial District North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:06:06,2025-01-31 17:24:06,2025,1,5,17,False,False,True,18,1.6,,Unknown,17.76,0.0,0.5,0.0,0.0,1.0,,0.75,,22.51,107,68,Manhattan,Gramercy,Manhattan,East Chelsea,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:55:09,2025-01-31 18:10:52,2025,1,5,17,False,False,True,15,2.1,,Unknown,20.43,0.0,0.5,0.0,0.0,1.0,,0.75,,25.18,143,140,Manhattan,Lincoln Square West,Manhattan,Lenox Hill East,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:30:03,2025-01-31 17:50:44,2025,1,5,17,False,False,True,20,0.01,,Unknown,19.58,0.0,0.5,0.0,0.0,1.0,,0.75,,24.33,68,261,Manhattan,East Chelsea,Manhattan,World Trade Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:49:23,2025-01-31 18:01:12,2025,1,5,17,False,False,True,12,0.01,,Unknown,17.88,0.0,0.5,3.0,0.0,1.0,,0.75,,25.63,246,211,Manhattan,West Chelsea/Hudson Yards,Manhattan,SoHo,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:44:15,2025-01-31 17:59:49,2025,1,5,17,False,False,True,15,0.01,,Unknown,18.87,0.0,0.5,0.0,0.0,1.0,,0.75,,23.62,13,50,Manhattan,Battery Park City,Manhattan,Clinton West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:11:12,2025-01-31 17:19:47,2025,1,5,17,False,False,True,8,0.0,,Unknown,11.77,0.0,0.5,0.0,0.0,1.0,,0.75,,16.52,170,4,Manhattan,Murray Hill,Manhattan,Alphabet City,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:25:42,2025-01-31 17:42:42,2025,1,5,17,False,False,True,17,0.01,,Unknown,16.96,0.0,0.5,0.0,0.0,1.0,,0.75,,21.71,4,13,Manhattan,Alphabet City,Manhattan,Battery Park City,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:15:33,2025-01-31 17:33:24,2025,1,5,17,False,False,True,18,2.27,,Unknown,18.28,0.0,0.5,0.0,0.0,1.0,,0.75,,23.03,107,161,Manhattan,Gramercy,Manhattan,Midtown Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:54:56,2025-01-31 18:03:33,2025,1,5,17,False,False,True,9,0.98,,Unknown,13.58,0.0,0.5,3.52,0.0,1.0,,0.0,,21.1,262,236,Manhattan,Yorkville East,Manhattan,Upper East Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:07:27,2025-01-31 17:21:30,2025,1,5,17,False,False,True,14,2.6,,Unknown,15.03,0.0,0.5,0.0,0.0,1.0,,0.75,,19.78,262,229,Manhattan,Yorkville East,Manhattan,Sutton Place/Turtle Bay North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:55:35,2025-01-31 18:18:54,2025,1,5,17,False,False,True,23,0.0,,Unknown,21.69,0.0,0.5,0.0,0.0,1.0,,0.75,,26.44,263,161,Manhattan,Yorkville West,Manhattan,Midtown Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:05:12,2025-01-31 17:20:53,2025,1,5,17,False,False,True,15,0.0,,Unknown,13.01,0.0,0.5,0.0,0.0,1.0,,0.75,,17.76,161,236,Manhattan,Midtown Center,Manhattan,Upper East Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:11:46,2025-01-31 17:26:03,2025,1,5,17,False,False,True,15,1.86,,Unknown,13.56,0.0,0.5,0.0,0.0,1.0,,0.75,,18.31,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:44:56,2025-01-31 18:02:44,2025,1,5,17,False,False,True,18,0.01,,Unknown,20.16,0.0,0.5,0.0,0.0,1.0,,0.0,,21.66,129,145,Queens,Jackson Heights,Queens,Long Island City/Hunters Point,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:45:36,2025-01-31 18:03:37,2025,1,5,17,False,False,True,18,0.0,,Unknown,14.98,0.0,0.5,0.0,0.0,1.0,,0.75,,19.73,137,68,Manhattan,Kips Bay,Manhattan,East Chelsea,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:47:18,2025-01-31 18:09:45,2025,1,5,17,False,False,True,22,3.69,,Unknown,21.52,0.0,0.5,0.0,0.0,1.0,,0.0,,23.02,102,198,Queens,Glendale,Queens,Ridgewood,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:31:05,2025-01-31 17:57:10,2025,1,5,17,False,False,True,26,0.0,,Unknown,26.33,0.0,0.5,0.0,0.0,1.0,,0.0,,30.33,142,42,Manhattan,Lincoln Square East,Manhattan,Central Harlem North,Drizzle,False,39.8,0.004,3.1
